feature,mean_abs_diff
n_activities,412.7687219371392
n_urls,158.90928823421606
n_permissions,114.6714201716607
n_services,52.56625698707963
n_api_calls,48.09523618619994
n_providers,16.788041403219403
n_receivers,15.070258331042488
n_used_permissions,12.565974449433396
intent_com.qihoo360.daemon.pcdaemon.ACTION_START_CAPTURE,1.0
intent_com.qihoo.hongbao.LOGIN,1.0
intent_com.qihoo360.daemon.pcdaemon.ACTION_SEND_SMS_SEND_STATUS_FORWARD2,1.0
intent_com.qihoo360.daemon.pcdaemon.ACTION_START_SERVICE2,1.0
intent_com.qihoo360.daemon.pcdaemon.ACTION_START_RECEIVER,1.0
intent_com.qihoo360.daemon.pcdaemon.ACTION_START_OPERATE_CLIPBOARD,1.0
intent_com.qihoo.appstore.battery.NOTIFY,1.0
intent_com.qihoo360.daemon.pcdaemon.ACTION_START_DOWNLOAF_PAGE,1.0
intent_com.qihoo.appstore.powerusage.SAVE_MODE,1.0
intent_com.qihoo.appstore.powerusage.HIGH_TEMPERATURE,1.0
intent_com.qihoo.appstore.zhushouhelper.IZhushouHelperService,1.0
intent_com.qihoo.appstore.videomini,1.0
intent_com.qihoo.appstore.plugin.streamapp.IPluginHelperServiceStreamApp,1.0
intent_com.qihoo.appstore.stablenotification.NewsBroadcastReceiver,1.0
intent_com.qihoo360.daemon.pcdaemon.ACTION_START_UI2,1.0
intent_com.qihoo360.daemon.pcdaemon.NotifyServiceStart2,1.0
intent_com.qihoo360.daemon.pcdaemon.NotifyServiceStop2,1.0
perm_dianxin.permission.READ_SETTINGS,1.0
intent_com.qihoo.appstore.launcher.shortcut.GAMEUNION,1.0
intent_com.qihoo.appstore.floatwin.FloatWindowService,1.0
intent_com.qihoo.appstore.launcher.shortcut.APP_GROUP,1.0
intent_com.qihoo.appstore.launcher.shortcut.EBOOK,1.0
